instruction,context,response,category
Why is my preferred payment method not available?,Order related queries,"We're sorry if your favourite payment method isn't available for your order.

With some payment methods, especially with invoice payments, we take the financial risk to provide you with a try before you buy service. This is why we risk check each transaction to ensure security for you and for us.

Some situations can influence the payment methods availability. For instance, if delivery address and billing address do not match because of typos, changes of address, family name or if you chose a Pick up Point for your delivery. Another reason might be if you still have some open invoices with us. Even If you've already transferred the money or made a return, it is possible that we haven't processed it yet.

However, please understand that we also consider that some payment methods may involve higher costs or risks. Like other platforms and shops, we use independent credit bureaus in order to have secure transactions and we reserve the right to decline a payment method for some orders (you can find more details in our Terms & Conditions).

Our Customer Care team has no way of changing the payment methods offered to you at checkout and we are unable to find out exactly why a payment method is not being offered.

If your favourite payment method is unavailable, we're sorry in advance. You will still be able to use all of our other services and can select one of the other options, which are all free.",Payments
How do I get a copy of my invoice?,Order related queries,"Below you can download invoices for your recent Zalando orders and some of the Partner orders. 
If you have just placed your order, please wait until the parcels have shipped for the invoices to become available. 
If your order hasn't been shipped yet, it will not appear on the list below.

[Log in to print an invoice copy for a recent order](https://accounts.zalando.com/authenticate?redirect_uri=https%3A%2F%2Fwww.zalando.co.uk%2Fsso%2Fcallback&client_id=fashion-store-web&response_type=code&scope=openid&request_id=eNZaXoqjSkGyI54X%3A450d08e0-701a-494a-b368-b208c59e077e%3AEtLbTTZf30vr+EB7&nonce=c5fdefe3-b0c4-45fa-a035-398b51d43405&state=eyJvcmlnaW5hbF9yZXF1ZXN0X3VyaSI6Imh0dHBzOi8vd3d3LnphbGFuZG8uY28udWsvZmFxL1BheW1lbnRzL2hvdy1kby1pLWdldC1hLWNvcHktb2YtbXktaW52b2ljZS5odG1sP2p1c3RfbG9nZ2VkX2luPTEiLCJ0cyI6IjIwMjQtMDktMTRUMDg6MDE6MjJaIn0%3D&premise=unified_sso_ui&ui_locales=en-GB&zalando_client_id=450d08e0-701a-494a-b368-b208c59e077e&cid=GA1.1.1737651450.1726050971&sales_channel=83c4e87f-6819-41bb-af61-46cddb8453f5&client_country=GB&client_category=fs&view=verify-email)

Your order isn't clickable?
Invoices for most Partner items and gift vouchers can't be downloaded here. 
In this case, you can contact our Customer Care team for a copy of the invoice. Please specify the order number in your request.",Payments
How to do online card payment with 3D Secure ?,Order related queries,"European regulations are changing to make online card payment more secure for you. For orders placed after January 1st 2021, you may be asked to authenticate your payment through a 3D secure process. This will be branded according to the type of card you're paying with, for example, Visa Secure, Mastercard Identity Check or American Express SafeKey.

What do I need to do?
If you haven't already, you will need to register your payment card for 3D Secure. Most banks usually provide a way to enrol your card online, so check the website of your bank for more information.If you have previously registered for 3D Secure, or have used this feature before, you will not need to register again. However, your bank may have defined an entirely new process to improve your payment experience. Some banks have designed a new smartphone application specifically for this purpose. Please get in touch with your bank for more information.To make sure you can pay for your next order easily and securely, we recommend that you activate 3D Secure before you place your next online order.

What will change?
You may have been asked to authenticate with 3D Secure when paying online before, however with the new regulation comes a new process, offering better security and easier ways to authenticate.The video below shows an example of how the new process could look. In this case, the bank uses the customer's smartphone and fingerprint to prove the customer's identity.",Payments
How secure are my payment transactions via Zalando?,Order related queries,We use certified SSL encryption for the secure transmission of your data. Your bank details are safe.,Payments
How do I pay by PayPal?,Order related queries,"If you choose to pay via PayPal, you will be redirected directly to PayPal at the end of the ordering process.

Please note:
If you return an item or if your order was cancelled, you will be refunded to your PayPal account. You can define in your PayPal account whether the amount should be forwarded to your bank account.

If your PayPal account is closed, we reserve the right to refund you to your bank account. It is not possible to choose a different PayPal account for the refund.",Payments
What happens to my gift card following a return?,Order related queries,"Paid for your order in full using a gift card?
In this case, it will be added back to your gift card total on your Zalando account. You can use it for your next order against eligible items. You can check your current available amount at any time under ""Gift cards"".

Have you paid for your order by combining a gift card with a different payment method?
The gift card is valid for fashion items. When you return one or more of these items, you will be refunded to the other payment method selected at checkout when you placed the order. For example, if you used a credit card as well as a gift card, you will be refunded to your credit card and the gift card will be applied to the kept fashion items.

If the gift card amount is larger than the amount used from the other payment method, you will be refunded to your gift card total.",Returns & Refunds
Why did I receive this email?,Order related queries,"In rare cases it happens that an item does not meet our quality standards. We then proactively reach out to you and ask you to send the item back to us.

We want to assure you that both we and the manufacturer of the branded products sold by us have high quality standards for our products, which is why they are regularly and thoroughly checked to an extent beyond the mere legal regulations.

We need to inform you that it was discovered that a product you have received does not comply with our Product Safety Standards. All particular reasons for this measure you will find in our email to you.

Please be aware that the return process for this recall differs from your standard returns. Please use the instructions provided to create a new label for returning the recalled item. Please also send the affected item back separately from any other items.

Returning the recalled items - step by step:
1. The documents needed to return the item(s) can be downloaded here.

Please insert

your name

your billing address

and the shipment number we have sent to you in our email

We can only correctly refund you if you provide us with this dedicated shipment number. The easiest way is to copy paste the number from this email.

Please do not use any other return label and do not return this recalled product together with other items.

2. Print the return label and stick the label on the package and bring your return to a local DHL office nearby.

Will I be refunded?
You will of course be fully refunded for the recalled item. If there is no other information in our email, this will happen as soon as we have received your return.

In order to refund you the amount you paid for your article(s), we kindly ask you to provide us with your bank details if:

you placed your order more than two years ago using PayPal

you paid for your order using a credit card that is no longer valid

your bank details have changed

(Please note: There is no need to inform us before you have sent it back.)

In any other case, we will refund you back to the payment method you used for your order.",Returns & Refunds
How can I return my order?,Order related queries,"You can return your unused items within 100 days free of charge.

Can I return items from different orders together?
Yes, if you have several orders shipped by Zalando you can send them back to us in one parcel. If you want to return Zalando and Partner items please put them into separate parcels. Partner items are marked with “Sold by a Partner” in the order overview in your customer account.

When will I receive my refund?
You will receive your refund within 14 days after you handed over the return parcel to the carrier. Please make sure to keep the return receipt from the carrier until you have received your refund.

Which carrier can I use to return my parcel?
You can find this information on the return label. If you are using a return code you can return your parcel via Evri.

How does home collection work?
You can book a Home Collection on the Evri website.

How long is the return code valid?
Your return code is valid for 90 days. If you haven't had a chance to drop off your parcel during this time, you can find a valid code in the 'Returns' section of your account.

Related questions:
- [How do I return items using a QR code?](https://www.zalando.co.uk/faq/how-do-i-return-items-using-a-qr-code.html)

- [How do I return items with a return label?](https://www.zalando.co.uk/faq/how-do-i-return-items-with-a-return-label.html)

- [How do I find the QR code or the return label I generated?](https://www.zalando.co.uk/faq/how-do-i-find-the-qr-code-or-the-return-label-i-generated.html)",Returns & Refunds
How do I return items with a return label?,Order related queries,"You can find the return label attached to the delivery slip. Attach the return label on the return parcel and drop off the parcel at the carrier.

If you do not have a return label, you can create one under “Returns” in your account. If this option is not available, please contact our customer service and we will provide you with one.",Returns & Refunds
How will I receive my refund?,Order related queries,"We will refund you via the payment method you selected during the order process.

What if I paid via a gift card?
When you return goods purchased with a gift card, the refund will be added to your account and you can use it on future orders. Gift card total cannot be exchanged for cash.

Please note:
Refunds for Zalando and Partner orders are made separately. Therefore you will receive your refund separately and at different times.

We do not reimburse the express delivery fee if you return the order",Returns & Refunds
When will I receive my refund?,Order related queries,You will receive your refund within 14 days from the day you handed over the return parcel to the carrier. You will receive your refund via the payment method you selected during the order process.,Returns & Refunds
What can I do if I do not have a return label?,Order related queries,"If you have already created a return online, you can create a return label under 'Returns' in your account.
If you have not yet created a return, click the 'Return items' button to create a return. 
Once you have completed this process, you can create a return label or QR code.",Returns & Refunds
What if my item is damaged or defective?,Order related queries,"We are sorry that your item has arrived damaged or defective.

Click on the ""Submit a claim here"" button below and provide us with all relevant information so that we can resolve your issue as soon as possible.

Important note: Only use this button to report a damaged or defective item.

[Submit a claim here](https://www.zalando.co.uk/contact?show_reclamation=true&self_help_article_id=c8046e64-8820-4b59-9fa4-3f09bc5a44af&self_help_article_name=What%20if%20my%20item%20is%20damaged%20or%20defective?&self_help_article_category=undefined)

Do I automatically receive a replacement?
No, unfortunately it's not possible for us to send you a replacement. If you would still like the item, please just place a new order. You will find a link directly to the product in the ""Orders"" section of your account. If the item is sold out - click ""Notify me"" on the product page and we'll let you know when it's available again.",Returns & Refunds
What is your return policy?,Order related queries,"You can return unused items within 100 days free of charge.

All returned items must be in their original condition (unworn and with the labels still attached) for a return to be accepted. Trying on an item doesn't count as it being worn.

Related questions:
[How can I return my order?](https://www.zalando.co.uk/faq/how-can-i-return-my-order.html)",Returns & Refunds
Can I return items from different orders together?,Order related queries,"Yes, you can. If you have several orders shipped by Zalando you can send them back to us in one parcel.

Can I return Zalando and Partner items together?
Unfortunately this is not possible. Partner items need to be returned directly to the partner. Please return Zalando and Partner items in separate parcels. Partner items are marked with “Sold by a Partner” in the order overview in your customer account.

Related questions:
- [How can I return my order?](https://www.zalando.co.uk/faq/how-can-i-return-my-order.html)
- [What can I do if I do not have a return label?](https://www.zalando.co.uk/faq/how-can-i-return-my-order.html)",Returns & Refunds
Can I exchange an item?,Order related queries,"Unfortunately, we don't offer exchanges, only refunds.

With our free return policy you have 100 days from the date of delivery to return your unused items.

You can return your original order for a full refund and place a new order.

Related questions:
- [How can I return my order?](https://www.zalando.co.uk/faq/how-can-i-return-my-order.html)",Returns & Refunds
What can I do if I received an item I did not order?,Order related queries,"We are sorry that we have sent you an item that you did not order.

Please return the item to us and note on the return slip under reason 9 that you did not order this item.

If you still want the original item, just go ahead and place a new order. If you have already paid for the item, you will receive a refund within 14 days of the return being handed over to the carrier.",Returns & Refunds
How can I return a Zalando Partner item?,Order related queries,"Please return Partner items in a separate parcel then Zalando items.

You can return unused Partner items within 100 days free of charge.

[Return items](https://accounts.zalando.com/authenticate?redirect_uri=https%3A%2F%2Fwww.zalando.co.uk%2Fsso%2Fcallback&client_id=fashion-store-web&response_type=code&scope=openid&request_id=wmTVBrkiwqWxM2Y5%3A450d08e0-701a-494a-b368-b208c59e077e%3AwmTVBrkiwqWxM2Y5&nonce=0fa4e0bb-44ec-476c-8794-fe314668bc4c&state=eyJvcmlnaW5hbF9yZXF1ZXN0X3VyaSI6Ii9yZXR1cm5zL2FydGljbGVzLyIsInRzIjoiMjAyNC0wOS0xNFQwODozNTozN1oifQ%3D%3D&premise=unified_sso_ui&ui_locales=en-GB&zalando_client_id=450d08e0-701a-494a-b368-b208c59e077e&cid=GA1.1.1737651450.1726050971&sales_channel=83c4e87f-6819-41bb-af61-46cddb8453f5&client_country=GB&client_category=fs&view=verify-email)

What if I do not have a return label?
If you do not have a return label, you can create one in your account. If this option is not available, please contact our customer service and we will provide you with one.

When will I receive my refund?
You will receive your refund within 14 days after you handed over the return parcel to the carrier. Please make sure to keep the return receipt from the carrier until you have received your refund.",Returns & Refunds
How can I return items sold and shipped by a store?,Order related queries,"You can return unused items that are sold and shipped by a store within 100 days free of charge.

Please return items sold and shipped by a store in a separate parcel then Zalando items.

What if I do not have a return label?
If you do not have a return label please reach out to our customer service.

When will I receive my refund?
You will receive your refund within 14 days after you handed over the return parcel to the carrier. Please make sure to keep the return receipt from the carrier until you have received your refund.",Returns & Refunds
What happens to my gift card following a return?,Order related queries,"This will depend on how you used your gift card:

Did you pay for your order in full using a gift card?
In this case, it will be added back to your gift card total on your Zalando account. You can use it for your next order against eligible items. You can check your current available amount at any time under ""Gift cards"".

Did you pay for your order by combining a gift card with a different payment method?
The gift card is valid for fashion items. When you return one or more of these items, you will be refunded to the other payment method selected at checkout when you placed the order. For example, if you used a credit card as well as a gift card, you will be refunded to your credit card and the gift card will be applied to the kept fashion items.

Did you pay for your order via invoice and gift card ?
If you used your gift card for valid fashion items against part of your order, and selected invoice payment for the remaining amount, and you return an item, the open amount on the invoice will be reduced

If the gift card amount is larger than the open amount on your invoice, you will be refunded to your gift card total.",Returns & Refunds
Why did I receive an email about an item recall?,Order related queries,"We would like to inform you that we have to recall an item that you purchased on Zalando.

It is our top priority to make sure that you only receive high quality goods when you shop on Zalando and we are very sorry for the inconvenience caused. Should an item not meet our quality standards for any reason, we will proactively send an email in which we inform our customers about this.

Depending on the item or quality defect, we might ask you to return the item to us. We will also let you know should a return exceptionally not be required.

What should I do if I am asked to return the item?
Our email to you will contain all relevant information. Please make sure to read the instructions in the email carefully, as the return and refund process for recalled items is different from the usual return process at Zalando.

If we ask you to return the item, our email will have a link to create a return label which is different from the return label that you received with your order. Please use the new label for returning the recalled item and send it back to us. Please also send the affected item back separately from any other items.

Will I be refunded for the recalled item?
You will of course be fully refunded for the recalled item. If there is no other information in our email, this will happen as soon as we have received your return.

Depending on the payment method or how long ago you purchased the item, we might ask you to reach out to our customer care via our usual contact channels.",Returns & Refunds
How do I find the QR code or the return label I generated?,Order related queries,You can find the QR code and the return label under “Your Returns” in your account.,Returns & Refunds
How do I return a Zalando Partner item?,Order related queries,"You can return your Partner items within 100 days, free of charge.

[Return items](https://accounts.zalando.com/authenticate?redirect_uri=https%3A%2F%2Fwww.zalando.co.uk%2Fsso%2Fcallback&client_id=fashion-store-web&response_type=code&scope=openid&request_id=m0k6JhA5a5t9394y%3A450d08e0-701a-494a-b368-b208c59e077e%3Am0k6JhA5a5t9394y&nonce=f1025565-9424-4f39-b23d-15334502c91f&state=eyJvcmlnaW5hbF9yZXF1ZXN0X3VyaSI6Ii9yZXR1cm5zL2FydGljbGVzLyIsInRzIjoiMjAyNC0wOS0xNFQwODo0MDoxM1oifQ%3D%3D&premise=unified_sso_ui&ui_locales=en-GB&zalando_client_id=450d08e0-701a-494a-b368-b208c59e077e&cid=GA1.1.1737651450.1726050971&sales_channel=83c4e87f-6819-41bb-af61-46cddb8453f5&client_country=GB&client_category=fs&view=verify-email)
How do I return an item that was sent to me directly by a Zalando Partner?
Please send the item back to the Partner. Just use the enclosed return label to send back your items.

If my Zalando and Partner items arrived in one parcel, can I return them in one parcel?
Yes, you can return the items together.

What do I do if I do not have a return label?
If you need a new return label, you can download this from your account. If the label isn't available to download, please contact our customer care team who will request the return label from the partner for you.

When will I receive my refund?
You will receive your refund within 14 days of handing over the parcel to the return carrier. Please make sure to keep the return receipt from the carrier until you have received your refund.",Returns & Refunds
How do I return items using a QR code?,Order related queries,"You can find the QR code in the ""Returns"" section of your account.

You will find the option to create a QR code in the return flow in your account. If you complete the return flow without creating a QR code, you will not be able to create one later.

Please show the QR code to the carrier when you drop off your return parcel. The carrier will print the return label and attach it to your return parcel.",Returns & Refunds
Where is my parcel?,Order related queries,"To track the delivery status of your parcel, simply click on the tracking link provided in your shipment confirmation email after your parcel has been dispatched. Alternatively, you can also find this information under 'My Account' on the Zalando website.

What can I do if the tracking link is not yet live?
Please be patient, the tracking link will not be live until your package has been received by the carrier.

What if the tracking link does not update?
Please note the tracking link does not update daily. However, if the tracking link has not updated within 5-6 business days please contact our customer service.

I have received a notification that the parcel has been delivered, but I do not have it. What should I do?
Please check if the parcel was delivered to a neighbour. If this is not the case and the parcel has not been delivered to you within one week after it has been shipped, please contact our customer service through a contact channel shown below.",Delivery
How are Partner items delivered?,Order related queries,"Zalando Partner items are sent to you directly by our Partners. You can see the estimated delivery date at checkout and in your order confirmation mail.

Once your parcel has been shipped you will receive a shipment confirmation mail incl. a tracking link. Through this link you can find out the exact delivery date as soon as it is scheduled by the carrier.

Please note:
Zalando Partner items can only be shipped via standard delivery

If you order multiple items from Zalando and our Partners, they will be sent in separate parcels.",Delivery
Why is my order split into several parcels?,Order related queries,"In order to ensure that you receive your items fast we might already ship some items before the others are ready to be shipped.

Please note:
Since Partner items are shipped directly from our partners, you will receive these items in a separate package from items directly shipped by us.

We will let you know at checkout if your items will be shipped separately.

For each shipment, you will receive a separate shipment confirmation email with a tracking link.",Delivery
Can I have my parcel delivered to a pick up point?,Order related queries,"Yes, you can. When you complete your order, we offer the convenient option of having your parcel delivered to an Evri parcel shop.

You can find a pick-up point near you at checkout or here:

[Evri parcel shop](https://www.evri.com/find-a-parcelshop)

Please note:
You will receive an sms from the carrier once your parcel was delivered and can be picked up

You can pick up your parcel within 7 days before it is returned to the sender.",Delivery
What should I do if my parcel arrives in damaged packaging?,Order related queries,"We're sorry to hear that, and hope that the items you ordered arrived intact and complete.

If the damage only affects your parcel and you would like to return something from that order, you can use any packing material for the return. Please make sure to use the return documents we provided in the parcel - with our return label, the return is always free of charge.

Please note that we cannot provide substitutes for damaged parcels.",Delivery
Why did I receive different orders in one parcel?,Order related queries,"In order to deliver your items in the quickest and most eco-friendly way we sometimes bundle different orders in one parcel. To see if your orders are bundled please check your delivery confirmation mail or log into your account on the Zalando website.

How do I pay for separate orders that were bundled and delivered together?
Different orders need to be paid separately, even if they were delivered together.

To ensure that your payments are booked correctly, please add the order number of each order in the payment message field.

How do I return items from different orders?
If you want to return items from bundled orders you can pack all items in one return parcel.",Delivery
Why was my parcel returned to the sender?,Order related queries,"If your parcel could not be delivered, don't worry! We'll consider it returned, and refund you if you've already paid for it.

Please note:
- We do not automatically reship returned orders. If you still wish to receive the items, you will need to place a new order.

- Your refund may take up to 14 days from the date your parcel was returned.",Delivery
Which countries does Zalando deliver to?,Order related queries,"Orders placed on Zalando.uk can be delivered within the UK.

Zalando is also available in the following countries:

Austria, Belgium, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Netherlands, Norway, Poland, Romania, Slovakia, Slovenia, Spain, Sweden, Switzerland, Germany",Delivery
What delivery options are available?,Order related queries,"You can choose the following delivery options:

| Delivery Option       | Delivery Time                                                        | Delivery Fee                | Delivery Destinations                   | Please Note                                                                                      |
|-----------------------|----------------------------------------------------------------------|-----------------------------|-----------------------------------------|--------------------------------------------------------------------------------------------------|
| Standard delivery     | Please see our delivery promise in checkout or in the order confirmation email | Free for orders above £35.00 | Evri home delivery, Yodel home delivery, Evri pick-up point | If your order value was below £35.00 and you paid a delivery fee, we will refund the delivery fee if the complete order is returned. |
|                       |                                                                      | £3.99 for orders below £35.00 |                                         |                                                                                                  |
| Long distance delivery| 1-2 days longer than standard delivery                               | £3.99                       | Evri home delivery, Yodel home delivery, Evri pick-up point | If your order contains both standard delivery items and long distance items, you will receive the items in different parcels.         |",Delivery
What does standard delivery include?,Order related queries,"Standard delivery includes the following:

| Delivery Time                                                        | Delivery Fee                | Delivery Destinations       | Please Note                                                                                      |
|----------------------------------------------------------------------|-----------------------------|-----------------------------|--------------------------------------------------------------------------------------------------|
| Please see our delivery promise in checkout or in the order confirmation email | Free for orders above £35.00 | Evri home delivery, Yodel home delivery | If your order value was below £35.00 and you paid a delivery fee, we will refund the delivery fee if the complete order is returned. |
|                                                                      | £3.99 for orders below £35.00 |                             |                                                                                                  |",Delivery
What does long distance delivery include?,Order related queries,"Long distance delivery includes the following:
| Delivery Time                        | Delivery Fee | Delivery Destinations       | Please Note                                                                                      |
|--------------------------------------|--------------|-----------------------------|--------------------------------------------------------------------------------------------------|
| 1-2 days longer than standard delivery | £3.99        | Evri home delivery, Yodel home delivery, Evri pick-up point | If your order contains both standard delivery items and long distance items, you will receive the items in different parcels. |",Delivery
What is a Zalando Partner item?,Non order related queries,"To make our range even wider and more exciting, we are working with selected Partner brands.

How do I know if I'm purchasing a Partner item?
If an item is a partner product, on the product page of the item you'll see ""Sold by (name of the partner)"".

If you look at an order in your customer account, you will also be able to see whether you have ordered partner items. If an order is coming from a partner, it will be identified as ‘Sold by (partner name)'.",Zalando Partner
How will I receive my Zalando Partner item,Non order related queries,"This depends on who ships your items. You will see this information on the product page.

Sold by Partner, shipped by Zalando

Your Partner item(s) will be shipped by Zalando. If you have an order that comprises both Zalando and Partner items, your items may be shipped in one parcel.

Sold and shipped by Partner

Your Partner item(s) will be shipped directly from a Partner. If you have an order that comprises both Zalando and Partner items, your items will be shipped in separate parcels.

Please note:
For items sold and shipped by our Partners we can only offer standard delivery",Zalando Partner
How do I return a Zalando Partner item?,Non order related queries,"You can return your Partner items within 100 days, free of charge.

[Return items](https://accounts.zalando.com/authenticate?redirect_uri=https%3A%2F%2Fwww.zalando.co.uk%2Fsso%2Fcallback&client_id=fashion-store-web&response_type=code&scope=openid&request_id=qsdMuR1wKWdR3Xo-%3A450d08e0-701a-494a-b368-b208c59e077e%3AqsdMuR1wKWdR3Xo-&nonce=801b5450-794c-4d10-8b69-4f1b105057cf&state=eyJvcmlnaW5hbF9yZXF1ZXN0X3VyaSI6Ii9yZXR1cm5zL2FydGljbGVzLyIsInRzIjoiMjAyNC0wOS0xNFQxMDoxMzowM1oifQ%3D%3D&premise=unified_sso_ui&ui_locales=en-GB&zalando_client_id=450d08e0-701a-494a-b368-b208c59e077e&cid=GA1.1.1737651450.1726050971&sales_channel=83c4e87f-6819-41bb-af61-46cddb8453f5&client_country=GB&client_category=fs&view=verify-email)
How do I return an item that was sent to me directly by a Zalando Partner?
Please send the item back to the Partner. Just use the enclosed return label to send back your items.

If my Zalando and Partner items arrived in one parcel, can I return them in one parcel?
Yes, you can return the items together.

What do I do if I do not have a return label?
If you need a new return label, you can download this from your account. If the label isn't available to download, please contact our customer care team who will request the return label from the partner for you.

When will I receive my refund?
You will receive your refund within 14 days of handing over the parcel to the return carrier. Please make sure to keep the return receipt from the carrier until you have received your refund.",Zalando Partner
Important tips for redeeming a gift card,Non order related queries,"Use a Gift Card for your order at Zalando
A Gift Card allows you to pay while ordering at Zalando or add it to your gift card total under ""My gift card total"". You can then use it at any time when you next order.

Use as many Zalando gift cards together as you like with a total maximum amount of £170.00. The maximum value of Gift Cards that can be used per calendar month is limited to €5,000 The maximum value of Gift Cards that can be connected to your customer account per calendar month is limited to €5,000.

Gift cards purchased via other country sites are not valid on Zalando.co.uk.

Gift cards have no minimum order size and are valid until their total is used, within five years of the initial purchase of the gift card.

Enter the gift card code
Redeem your gift card during checkout or add the amount to your gift card total ready to use whenever you place an order.

You can only enter the gift card once and it is then added to your gift card total and can be used.

Did you forget to enter the gift card code? No problem! For a limited time, you will be able to cancel your order and easily order again using the code.

Enter the code in the field provided. Doesn’t work? Please take care to avoid including any extra spaces.

Refund of Gift Cards
Unfortunately, it is not possible to exchange a gift card for cash.

If you return items to us, where the gift card total was applied to, we will refund the amount back to your gift card total, which you may use right away on your next order",Gift card and Voucher
